
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.003553105236718188
fun_coils#8 - J=3.6e-03, Jf=3.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=9.1e-06, J_MSC=3.8e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 8.8, 9.5, 16.7], mean squared curvature=[8.3, 5.4, 5.0, 7.1, 9.2, 10.9]
fun_coils#9 - J=3.6e-03, Jf=3.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.9e-06, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 9.5, 9.6, 7.4], mean squared curvature=[8.3, 5.4, 5.0, 7.3, 9.2, 10.3]
fun_coils#10 - J=3.5e-03, Jf=3.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.2e-06, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 8.9, 9.5, 6.4], mean squared curvature=[8.3, 5.4, 5.0, 7.1, 9.2, 10.4]
fun_coils#11 - J=3.5e-03, Jf=3.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.4e-06, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.3, 7.4, 9.4, 6.2], mean squared curvature=[8.3, 5.4, 5.0, 6.8, 9.2, 10.4]
fun_coils#12 - J=3.5e-03, Jf=3.5e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.8e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.3, 6.7, 9.0, 7.8], mean squared curvature=[8.3, 5.5, 5.0, 6.4, 9.3, 10.6]
fun_coils#13 - J=3.5e-03, Jf=3.5e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.1e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.3, 8.0, 8.7, 7.3], mean squared curvature=[8.3, 5.5, 5.0, 6.3, 9.3, 10.5]
fun_coils#14 - J=3.5e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=4.6e-06, J_MSC=1.1e-04, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 11.6, 8.1, 14.2], mean squared curvature=[8.3, 5.5, 5.0, 7.4, 9.5, 11.5]
fun_coils#15 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.7e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.3, 9.5, 8.4, 8.5], mean squared curvature=[8.3, 5.5, 5.0, 6.6, 9.4, 10.6]
fun_coils#16 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-06, J_MSC=3.7e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 12.3, 8.0, 10.2], mean squared curvature=[8.3, 5.5, 5.0, 7.7, 9.6, 10.9]
fun_coils#17 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=4.0e-08, J_MSC=5.1e-06, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 10.4, 8.2, 8.4], mean squared curvature=[8.3, 5.5, 5.0, 7.0, 9.5, 10.3]
fun_coils#18 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=5.9e-07, J_MSC=1.6e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 11.4, 8.0, 10.5], mean squared curvature=[8.3, 5.5, 5.0, 7.4, 9.5, 10.6]
fun_coils#19 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=2.8e-05, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 12.1, 7.8, 8.7], mean squared curvature=[8.3, 5.5, 5.0, 7.9, 9.6, 10.7]
