
Aspect ratio at max_mode 3: 6.000164613385855
Mean iota at 3: 0.41999630252553016
Quasisymmetry objective at max_mode 3: 0.0002308731908214546
Squared flux at max_mode 3: 0.009807367661565593
fun_coils_simple#25 - J=1.9e-02, Jf=7.0e-03, ⟨B·n⟩=7.8e-03, C-C-Sep=0.09 Jf=7.0e-03, J_length=1.0e-06, J_CC=1.8e-07, J_CURVATURE=2.7e-04, J_MSC=3.1e-04, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.1])=10.1, curvature=[8.3, 21.4], mean squared curvature=[6.3, 7.1]
fun_coils_simple#26 - J=3.5e+01, Jf=7.5e-03, ⟨B·n⟩=8.3e-03, C-C-Sep=0.10 Jf=7.5e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=2.1e-01, J_MSC=3.5e+01, J_ALS=2.5e-07, J_LENGTH_PENALTY=7.2e-03 Coil lengths=sum([4.8, 4.9])=9.7, curvature=[198.3, 1998.3], mean squared curvature=[39.2, 837.0]
fun_coils_simple#27 - J=1.9e-02, Jf=7.0e-03, ⟨B·n⟩=7.8e-03, C-C-Sep=0.09 Jf=7.0e-03, J_length=1.0e-06, J_CC=1.8e-07, J_CURVATURE=2.7e-04, J_MSC=3.1e-04, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.1])=10.1, curvature=[8.3, 21.4], mean squared curvature=[6.3, 7.1]
fun_coils_simple#28 - J=1.8e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=9.1e-08, J_CURVATURE=5.3e-04, J_MSC=6.9e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.0])=10.1, curvature=[9.3, 40.9], mean squared curvature=[6.4, 8.5]
fun_coils_simple#29 - J=1.8e-01, Jf=6.6e-03, ⟨B·n⟩=7.5e-03, C-C-Sep=0.10 Jf=6.6e-03, J_length=1.0e-06, J_CC=2.3e-09, J_CURVATURE=1.3e-02, J_MSC=1.6e-01, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.0e-02 Coil lengths=sum([5.0, 5.0])=10.0, curvature=[13.3, 289.0], mean squared curvature=[6.8, 62.4]
fun_coils_simple#30 - J=1.8e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.1e-08, J_CURVATURE=5.4e-04, J_MSC=7.1e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.0])=10.1, curvature=[9.5, 43.2], mean squared curvature=[6.4, 8.5]
fun_coils#1 - J=1.9e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.1e-08, J_CURVATURE=5.4e-04, J_MSC=7.1e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.0])=10.1, curvature=[9.5, 43.2], mean squared curvature=[6.4, 8.5]
fun_coils#2 - J=1.1e+01, Jf=1.4e+00, ⟨B·n⟩=3.5e-01, C-C-Sep=0.03 Jf=1.4e+00, J_length=5.3e-06, J_CC=2.2e-04, J_CURVATURE=2.7e-02, J_MSC=6.3e-01, J_ALS=7.6e-05, J_LENGTH_PENALTY=9.3e+00 Coil lengths=sum([5.4, 47.1])=52.6, curvature=[144.2, 29.0], mean squared curvature=[116.7, 10.8]
fun_coils#3 - J=5.5e+00, Jf=1.7e-02, ⟨B·n⟩=1.3e-02, C-C-Sep=0.07 Jf=1.7e-02, J_length=1.2e-06, J_CC=6.5e-07, J_CURVATURE=1.0e-01, J_MSC=5.3e+00, J_ALS=9.4e-07, J_LENGTH_PENALTY=6.5e-02 Coil lengths=sum([5.0, 7.5])=12.5, curvature=[17.9, 579.2], mean squared curvature=[9.2, 331.9]
fun_coils#4 - J=1.9e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.1e-08, J_CURVATURE=5.8e-04, J_MSC=8.8e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.0])=10.1, curvature=[9.3, 30.0], mean squared curvature=[6.4, 9.0]
fun_coils#5 - J=1.9e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.1e-08, J_CURVATURE=3.9e-04, J_MSC=5.1e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.0])=10.1, curvature=[9.4, 23.0], mean squared curvature=[6.4, 7.9]
fun_coils#6 - J=1.8e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.1e-08, J_CURVATURE=3.6e-04, J_MSC=4.7e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.0])=10.1, curvature=[9.3, 21.7], mean squared curvature=[6.4, 7.7]
fun_coils#7 - J=1.8e-02, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=8.1e-08, J_CURVATURE=3.5e-04, J_MSC=4.4e-04, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.1, 5.0])=10.1, curvature=[9.2, 21.2], mean squared curvature=[6.3, 7.7]
