
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 1.4950781826898709e-05
fun_coils#10 - J=1.3e-04, Jf=1.9e-05, ⟨B·n⟩=6.8e-04, C-C-Sep=0.11 Jf=1.9e-05, J_length=4.4e-06, J_CC=3.3e-07, J_CURVATURE=5.7e-06, J_MSC=1.0e-04, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.9, curvature=[4.8, 5.5, 6.3, 8.2, 8.7, 12.5, 6.6, 8.4, 7.1, 6.5], mean squared curvature=[10.4, 10.3, 9.6, 8.9, 8.7, 11.4, 8.1, 9.9, 10.1, 9.2]
fun_coils#11 - J=4.6e-05, Jf=1.8e-05, ⟨B·n⟩=6.7e-04, C-C-Sep=0.11 Jf=1.8e-05, J_length=4.4e-06, J_CC=3.0e-07, J_CURVATURE=0.0e+00, J_MSC=2.6e-05, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.8, curvature=[4.9, 5.5, 6.4, 8.2, 8.7, 9.2, 6.0, 8.3, 7.3, 6.6], mean squared curvature=[10.5, 10.4, 9.7, 8.9, 8.7, 10.2, 7.8, 9.9, 10.1, 9.4]
fun_coils#12 - J=4.0e-05, Jf=1.8e-05, ⟨B·n⟩=6.6e-04, C-C-Sep=0.11 Jf=1.8e-05, J_length=4.4e-06, J_CC=3.1e-07, J_CURVATURE=0.0e+00, J_MSC=2.0e-05, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.9, curvature=[4.9, 5.5, 6.4, 8.2, 8.7, 9.6, 6.1, 8.4, 7.2, 6.6], mean squared curvature=[10.5, 10.4, 9.7, 8.9, 8.7, 10.2, 7.8, 9.9, 10.1, 9.3]
fun_coils#13 - J=2.6e-05, Jf=1.9e-05, ⟨B·n⟩=6.9e-04, C-C-Sep=0.11 Jf=1.9e-05, J_length=4.4e-06, J_CC=3.8e-07, J_CURVATURE=3.3e-09, J_MSC=5.9e-06, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.9, curvature=[4.8, 5.4, 6.3, 8.2, 8.7, 10.1, 7.0, 8.5, 7.2, 6.5], mean squared curvature=[10.3, 10.2, 9.6, 8.9, 8.7, 9.9, 8.3, 9.9, 10.1, 9.2]
fun_coils#14 - J=2.4e-05, Jf=1.9e-05, ⟨B·n⟩=7.0e-04, C-C-Sep=0.11 Jf=1.9e-05, J_length=4.4e-06, J_CC=4.1e-07, J_CURVATURE=2.2e-08, J_MSC=3.4e-06, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.5, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.9, curvature=[4.7, 5.4, 6.3, 8.2, 8.7, 10.2, 7.3, 8.5, 7.2, 6.4], mean squared curvature=[10.2, 10.1, 9.6, 8.9, 8.7, 9.9, 8.4, 9.9, 10.1, 9.2]
fun_coils#15 - J=2.0e-05, Jf=1.8e-05, ⟨B·n⟩=6.8e-04, C-C-Sep=0.10 Jf=1.8e-05, J_length=4.4e-06, J_CC=4.4e-07, J_CURVATURE=0.0e+00, J_MSC=1.2e-06, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.6, 4.3, 4.2, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.9, curvature=[4.6, 5.3, 6.3, 8.2, 8.7, 9.7, 7.5, 8.5, 7.3, 6.4], mean squared curvature=[10.1, 10.1, 9.6, 8.9, 8.7, 9.8, 8.5, 9.9, 10.1, 9.1]
fun_coils#16 - J=1.7e-05, Jf=1.6e-05, ⟨B·n⟩=6.4e-04, C-C-Sep=0.10 Jf=1.6e-05, J_length=4.4e-06, J_CC=4.3e-07, J_CURVATURE=0.0e+00, J_MSC=1.4e-07, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.6, 4.3, 4.1, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.9, curvature=[4.6, 5.3, 6.3, 8.2, 8.7, 10.0, 7.6, 8.5, 7.2, 6.5], mean squared curvature=[10.0, 10.0, 9.6, 8.9, 8.7, 9.8, 8.6, 10.0, 10.0, 9.1]
fun_coils#17 - J=1.6e-05, Jf=1.5e-05, ⟨B·n⟩=6.1e-04, C-C-Sep=0.11 Jf=1.5e-05, J_length=4.4e-06, J_CC=3.3e-07, J_CURVATURE=1.9e-11, J_MSC=2.5e-08, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.6, 4.3, 4.1, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.9, curvature=[4.6, 5.2, 6.3, 8.3, 8.7, 10.0, 7.7, 8.6, 7.2, 6.5], mean squared curvature=[10.0, 10.0, 9.6, 8.9, 8.7, 9.8, 8.6, 10.0, 10.0, 9.1]
fun_coils#18 - J=1.5e-05, Jf=1.3e-05, ⟨B·n⟩=5.8e-04, C-C-Sep=0.11 Jf=1.3e-05, J_length=4.4e-06, J_CC=1.3e-07, J_CURVATURE=0.0e+00, J_MSC=3.4e-07, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.6, 4.3, 4.1, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.9, curvature=[4.6, 5.3, 6.2, 8.3, 8.7, 9.8, 7.9, 8.7, 7.3, 6.7], mean squared curvature=[10.0, 10.0, 9.6, 8.9, 8.7, 9.7, 8.7, 10.0, 10.1, 9.2]
fun_coils#19 - J=1.4e-05, Jf=1.2e-05, ⟨B·n⟩=5.6e-04, C-C-Sep=0.11 Jf=1.2e-05, J_length=4.4e-06, J_CC=8.9e-08, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.1e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.6, 4.3, 4.1, 4.3, 4.3, 4.3, 4.5, 4.5, 4.5])=43.9, curvature=[4.6, 5.4, 6.2, 8.3, 8.7, 9.9, 7.9, 8.6, 7.2, 6.7], mean squared curvature=[10.0, 10.0, 9.6, 8.9, 8.7, 9.7, 8.7, 9.9, 10.0, 9.2]
