
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06415397191789753
fun_coils#10 - J=3.0e-03, Jf=1.2e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.12 Jf=1.2e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-04, J_MSC=9.5e-04, J_ALS=3.2e-07, J_LENGTH_PENALTY=7.1e-04 Coil lengths=sum([4.2, 4.2, 4.2, 4.2])=16.8, curvature=[5.4, 9.3, 5.4, 10.9], mean squared curvature=[5.1, 8.8, 4.7, 7.2]
fun_coils#11 - J=2.3e-03, Jf=1.2e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.12 Jf=1.2e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=2.8e-05, J_MSC=1.7e-04, J_ALS=3.3e-07, J_LENGTH_PENALTY=9.2e-04 Coil lengths=sum([4.2, 4.2, 4.2, 4.2])=16.9, curvature=[5.5, 7.4, 4.9, 7.9], mean squared curvature=[4.6, 6.8, 4.4, 5.6]
fun_coils#12 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.12 Jf=1.0e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=3.7e-05, J_MSC=4.2e-04, J_ALS=3.2e-07, J_LENGTH_PENALTY=6.7e-04 Coil lengths=sum([4.2, 4.2, 4.2, 4.2])=16.7, curvature=[7.9, 7.4, 5.2, 6.2], mean squared curvature=[6.0, 7.7, 4.6, 5.3]
fun_coils#13 - J=2.0e-03, Jf=1.1e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.12 Jf=1.1e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=2.5e-05, J_MSC=1.0e-04, J_ALS=3.3e-07, J_LENGTH_PENALTY=7.8e-04 Coil lengths=sum([4.2, 4.2, 4.2, 4.2])=16.8, curvature=[6.7, 7.4, 5.0, 7.1], mean squared curvature=[5.1, 6.4, 4.5, 5.4]
fun_coils#14 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.12 Jf=1.0e-03, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=1.5e-05, J_ALS=3.2e-07, J_LENGTH_PENALTY=7.1e-04 Coil lengths=sum([4.2, 4.2, 4.2, 4.2])=16.8, curvature=[5.7, 5.9, 5.0, 4.4], mean squared curvature=[4.8, 5.6, 4.5, 4.8]
fun_coils#15 - J=1.6e-03, Jf=8.8e-04, ⟨B·n⟩=3.8e-03, C-C-Sep=0.11 Jf=8.8e-04, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=9.8e-06, J_MSC=2.5e-04, J_ALS=3.1e-07, J_LENGTH_PENALTY=4.7e-04 Coil lengths=sum([4.2, 4.2, 4.1, 4.2])=16.6, curvature=[6.3, 6.8, 5.6, 4.5], mean squared curvature=[6.0, 7.0, 4.9, 4.6]
fun_coils#16 - J=1.3e-03, Jf=8.4e-04, ⟨B·n⟩=3.7e-03, C-C-Sep=0.12 Jf=8.4e-04, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=3.4e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=4.7e-04 Coil lengths=sum([4.2, 4.2, 4.1, 4.2])=16.6, curvature=[4.9, 5.9, 5.2, 4.3], mean squared curvature=[5.1, 5.8, 4.8, 4.6]
fun_coils#17 - J=1.1e-03, Jf=7.2e-04, ⟨B·n⟩=3.4e-03, C-C-Sep=0.12 Jf=7.2e-04, J_length=1.7e-06, J_CC=0.0e+00, J_CURVATURE=5.4e-06, J_MSC=5.0e-05, J_ALS=3.0e-07, J_LENGTH_PENALTY=3.6e-04 Coil lengths=sum([4.1, 4.1, 4.1, 4.1])=16.5, curvature=[6.0, 6.4, 5.7, 4.5], mean squared curvature=[5.2, 6.0, 5.0, 5.1]
fun_coils#18 - J=1.4e-03, Jf=4.9e-04, ⟨B·n⟩=2.7e-03, C-C-Sep=0.12 Jf=4.9e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=5.2e-05, J_MSC=6.2e-04, J_ALS=2.9e-07, J_LENGTH_PENALTY=2.1e-04 Coil lengths=sum([4.1, 4.1, 4.1, 4.1])=16.4, curvature=[5.7, 8.4, 5.4, 8.6], mean squared curvature=[5.3, 6.7, 5.3, 8.0]
fun_coils#19 - J=1.0e-03, Jf=6.2e-04, ⟨B·n⟩=3.1e-03, C-C-Sep=0.12 Jf=6.2e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-06, J_MSC=9.0e-05, J_ALS=3.0e-07, J_LENGTH_PENALTY=2.9e-04 Coil lengths=sum([4.1, 4.1, 4.1, 4.1])=16.5, curvature=[5.5, 5.7, 5.6, 5.6], mean squared curvature=[5.2, 5.9, 5.1, 6.0]
