
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06415397191789753
fun_coils#7 - J=1.3e-03, Jf=1.3e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.12 Jf=1.3e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=5.4e-06, J_MSC=7.0e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.7, 6.3, 6.0, 4.8], mean squared curvature=[4.9, 5.6, 6.0, 5.3]
fun_coils#8 - J=1.2e-03, Jf=1.2e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.12 Jf=1.2e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=1.3e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.7, 4.9, 5.7, 4.8], mean squared curvature=[4.9, 5.1, 5.3, 5.4]
fun_coils#9 - J=1.2e-03, Jf=9.9e-04, ⟨B·n⟩=3.8e-03, C-C-Sep=0.12 Jf=9.9e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-05, J_MSC=1.5e-04, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.7, 5.3, 7.3, 4.7], mean squared curvature=[4.9, 5.6, 6.4, 5.8]
fun_coils#10 - J=1.1e-03, Jf=1.1e-03, ⟨B·n⟩=4.0e-03, C-C-Sep=0.12 Jf=1.1e-03, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=3.5e-06, J_MSC=4.2e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.1, curvature=[4.7, 4.7, 5.9, 4.8], mean squared curvature=[4.9, 5.2, 5.7, 5.6]
fun_coils#11 - J=1.0e-03, Jf=8.9e-04, ⟨B·n⟩=3.6e-03, C-C-Sep=0.12 Jf=8.9e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=9.4e-06, J_MSC=9.9e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.7, 5.3, 6.8, 4.7], mean squared curvature=[4.9, 5.7, 6.2, 5.3]
fun_coils#12 - J=8.4e-04, Jf=8.0e-04, ⟨B·n⟩=3.4e-03, C-C-Sep=0.12 Jf=8.0e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=9.5e-07, J_MSC=4.1e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.8, 4.3, 5.5, 5.5], mean squared curvature=[4.9, 5.1, 5.6, 5.7]
fun_coils#13 - J=7.1e-04, Jf=7.0e-04, ⟨B·n⟩=3.2e-03, C-C-Sep=0.12 Jf=7.0e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.8, 4.3, 4.9, 4.9], mean squared curvature=[5.0, 5.3, 5.3, 5.1]
fun_coils#14 - J=5.6e-04, Jf=5.4e-04, ⟨B·n⟩=2.8e-03, C-C-Sep=0.11 Jf=5.4e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.7e-07, J_MSC=2.4e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.6])=18.2, curvature=[5.7, 4.5, 5.0, 5.1], mean squared curvature=[5.1, 5.4, 5.5, 5.2]
fun_coils#15 - J=7.1e-04, Jf=3.6e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.11 Jf=3.6e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=6.8e-05, J_MSC=2.8e-04, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.6])=18.2, curvature=[13.5, 4.1, 7.6, 5.4], mean squared curvature=[6.5, 5.2, 6.8, 5.5]
fun_coils#16 - J=4.6e-04, Jf=4.4e-04, ⟨B·n⟩=2.5e-03, C-C-Sep=0.11 Jf=4.4e-04, J_length=1.8e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=2.5e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.5, 4.5, 4.5])=18.2, curvature=[4.2, 3.8, 5.7, 5.2], mean squared curvature=[4.9, 5.0, 5.7, 5.2]
