
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06451762722667326
fun_coils#16 - J=1.7e-03, Jf=1.5e-03, ⟨B·n⟩=2.4e-03, C-C-Sep=0.27 Jf=1.5e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=2.4e-08, J_ALS=1.8e-07, J_LENGTH_PENALTY=2.1e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[5.0, 5.8], mean squared curvature=[3.6, 5.0]
fun_coils#17 - J=1.7e-03, Jf=1.5e-03, ⟨B·n⟩=2.4e-03, C-C-Sep=0.27 Jf=1.5e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=8.5e-07, J_MSC=3.2e-07, J_ALS=1.8e-07, J_LENGTH_PENALTY=2.2e-04 Coil lengths=sum([5.2, 5.1])=10.3, curvature=[4.4, 5.5], mean squared curvature=[3.6, 5.1]
fun_coils#18 - J=1.6e-03, Jf=1.4e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.26 Jf=1.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-07, J_MSC=3.9e-06, J_ALS=1.8e-07, J_LENGTH_PENALTY=2.1e-04 Coil lengths=sum([5.1, 5.1])=10.3, curvature=[3.9, 5.2], mean squared curvature=[3.4, 5.3]
fun_coils#19 - J=1.6e-03, Jf=1.4e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.27 Jf=1.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=7.9e-09, J_MSC=8.1e-06, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.9e-04 Coil lengths=sum([5.1, 5.1])=10.3, curvature=[4.1, 5.1], mean squared curvature=[3.4, 5.4]
fun_coils#20 - J=1.6e-03, Jf=1.4e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.28 Jf=1.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=3.5e-10, J_MSC=0.0e+00, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([5.1, 5.1])=10.3, curvature=[3.7, 5.0], mean squared curvature=[3.3, 4.9]
fun_coils#21 - J=1.5e-03, Jf=1.4e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.28 Jf=1.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=2.9e-08, J_MSC=0.0e+00, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.9, 5.1], mean squared curvature=[3.3, 5.0]
fun_coils#22 - J=1.5e-03, Jf=1.4e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.27 Jf=1.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=5.0e-08, J_MSC=3.9e-06, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.7, 5.3], mean squared curvature=[3.3, 5.3]
fun_coils#23 - J=1.5e-03, Jf=1.4e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.26 Jf=1.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.4e-08, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.8, 4.9], mean squared curvature=[3.3, 5.0]
fun_coils#24 - J=1.5e-03, Jf=1.4e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.27 Jf=1.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.7, 4.8], mean squared curvature=[3.2, 4.9]
fun_coils#25 - J=1.5e-03, Jf=1.4e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.27 Jf=1.4e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.7e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 4.8], mean squared curvature=[3.2, 4.9]
