
Aspect ratio at max_mode 3: 7.000779660989392
Mean iota at 3: 0.46887205235890034
Squared flux at max_mode 3: 0.0010222385615171338
fun_coils_simple#22 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=6.5e-08, J_MSC=5.7e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.5, 10.4, 5.6, 5.9], mean squared curvature=[13.0, 7.8, 5.9, 5.8, 9.0, 10.0, 10.7, 11.3]
fun_coils_simple#23 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.0e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.4, 10.0, 6.0, 5.6], mean squared curvature=[12.9, 7.8, 5.9, 5.8, 9.0, 10.2, 10.6, 11.0]
fun_coils_simple#24 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.6e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.4, 9.5, 6.4, 5.7], mean squared curvature=[12.9, 7.8, 5.9, 5.8, 9.0, 10.0, 10.5, 10.9]
fun_coils_simple#25 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.1e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.4, 9.2, 7.1, 5.7], mean squared curvature=[12.7, 7.8, 5.9, 5.8, 8.9, 10.2, 10.4, 10.8]
fun_coils_simple#26 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.8e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.4, 6.4, 9.6, 7.8, 7.4], mean squared curvature=[12.5, 7.8, 5.9, 5.8, 8.9, 9.7, 10.4, 11.2]
fun_coils_simple#27 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.3e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.4, 9.7, 7.6, 5.7], mean squared curvature=[12.4, 7.8, 5.9, 5.8, 8.9, 9.7, 10.4, 10.8]
fun_coils_simple#28 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.0e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.9, 5.3, 3.6, 4.4, 6.4, 9.8, 7.5, 5.7], mean squared curvature=[12.3, 7.8, 5.9, 5.8, 8.9, 9.6, 10.4, 10.8]
fun_coils_simple#29 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=8.7e-09, J_MSC=2.5e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.8, 5.3, 3.6, 4.4, 6.3, 10.2, 7.1, 5.7], mean squared curvature=[12.1, 7.8, 5.9, 5.8, 8.8, 9.6, 10.3, 10.8]
fun_coils_simple#30 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=6.6e-08, J_MSC=2.1e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.6, 5.3, 3.6, 4.4, 6.3, 10.5, 6.8, 5.7], mean squared curvature=[11.9, 7.8, 5.9, 5.8, 8.8, 9.6, 10.2, 10.8]
fun_coils_simple#31 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.9e-07, J_MSC=1.7e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.3, 5.3, 3.6, 4.4, 6.3, 10.9, 6.7, 6.6], mean squared curvature=[11.5, 7.8, 5.9, 5.8, 8.7, 9.6, 10.3, 11.0]
fun_coils_simple#32 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.6e-07, J_MSC=1.3e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.2, 5.3, 3.6, 4.4, 6.3, 10.9, 6.8, 6.0], mean squared curvature=[11.4, 7.8, 5.9, 5.8, 8.7, 9.5, 10.3, 10.7]
fun_coils_simple#33 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.7e-07, J_MSC=1.2e-04, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.1, 5.3, 3.6, 4.4, 6.3, 11.0, 6.8, 6.2], mean squared curvature=[11.3, 7.8, 5.9, 5.8, 8.7, 9.5, 10.3, 10.6]
fun_coils_simple#34 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=6.8e-07, J_MSC=8.3e-05, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.0, 5.3, 3.6, 4.4, 6.2, 11.3, 6.7, 6.5], mean squared curvature=[11.2, 7.8, 5.9, 5.8, 8.7, 9.6, 10.2, 10.5]
fun_coils_simple#35 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=5.0e-05, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.7, 5.3, 3.6, 4.4, 6.2, 11.7, 6.6, 6.7], mean squared curvature=[10.9, 7.8, 5.9, 5.8, 8.7, 9.7, 10.2, 10.4]
fun_coils_simple#36 - J=1.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.1e-06, J_MSC=1.8e-05, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.3, 5.3, 3.6, 4.4, 6.2, 12.0, 6.7, 6.5], mean squared curvature=[10.6, 7.8, 5.9, 5.8, 8.7, 10.0, 10.1, 10.2]
fun_coils_simple#37 - J=1.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=4.3e-06, J_MSC=1.1e-05, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[4.8, 5.3, 3.6, 4.3, 6.2, 12.5, 7.0, 6.8], mean squared curvature=[10.3, 7.8, 5.9, 5.8, 8.7, 10.4, 10.1, 10.1]
fun_coils_simple#38 - J=1.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.9e-07, J_MSC=6.6e-06, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[4.5, 5.3, 3.6, 4.3, 6.3, 11.0, 6.9, 8.7], mean squared curvature=[10.2, 7.8, 5.9, 5.8, 8.7, 9.7, 10.0, 10.3]
