
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06422646722819887
fun_coils#8 - J=6.1e-03, Jf=2.4e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.15 Jf=2.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=5.8e-07, J_MSC=4.2e-06, J_ALS=2.8e-07, J_LENGTH_PENALTY=3.6e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.5, curvature=[7.0, 5.3, 5.1], mean squared curvature=[3.9, 4.7, 5.3]
fun_coils#9 - J=6.0e-03, Jf=2.4e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.15 Jf=2.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=2.3e-06, J_MSC=1.8e-09, J_ALS=2.7e-07, J_LENGTH_PENALTY=3.6e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.5, curvature=[7.2, 4.2, 5.0], mean squared curvature=[4.0, 4.5, 5.0]
fun_coils#10 - J=5.9e-03, Jf=2.2e-03, ⟨B·n⟩=4.3e-03, C-C-Sep=0.15 Jf=2.2e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-04, J_MSC=2.3e-04, J_ALS=2.6e-07, J_LENGTH_PENALTY=3.3e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.4, curvature=[13.3, 9.1, 4.8], mean squared curvature=[7.1, 5.5, 4.8]
fun_coils#11 - J=5.8e-03, Jf=2.3e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.15 Jf=2.3e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-05, J_MSC=0.0e+00, J_ALS=2.7e-07, J_LENGTH_PENALTY=3.5e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.4, curvature=[10.3, 4.4, 4.9], mean squared curvature=[4.5, 4.6, 4.9]
fun_coils#12 - J=6.5e-03, Jf=2.1e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.15 Jf=2.1e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=3.5e-04, J_MSC=9.9e-04, J_ALS=2.6e-07, J_LENGTH_PENALTY=3.1e-03 Coil lengths=sum([4.5, 4.4, 4.4])=13.4, curvature=[13.1, 15.2, 4.6], mean squared curvature=[8.5, 7.8, 4.8]
fun_coils#13 - J=5.6e-03, Jf=2.2e-03, ⟨B·n⟩=4.3e-03, C-C-Sep=0.15 Jf=2.2e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=5.2e-05, J_MSC=9.6e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=3.3e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.4, curvature=[11.9, 7.3, 4.8], mean squared curvature=[5.4, 5.2, 4.8]
fun_coils#14 - J=5.5e-03, Jf=2.1e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.15 Jf=2.1e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-04, J_MSC=2.3e-04, J_ALS=2.6e-07, J_LENGTH_PENALTY=3.1e-03 Coil lengths=sum([4.5, 4.4, 4.4])=13.4, curvature=[8.9, 12.4, 4.6], mean squared curvature=[6.2, 6.8, 4.7]
fun_coils#15 - J=5.5e-03, Jf=2.2e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.15 Jf=2.2e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=6.5e-05, J_MSC=6.0e-05, J_ALS=2.6e-07, J_LENGTH_PENALTY=3.2e-03 Coil lengths=sum([4.5, 4.5, 4.5])=13.4, curvature=[8.7, 10.1, 4.7], mean squared curvature=[5.7, 5.9, 4.7]
fun_coils#16 - J=5.0e-03, Jf=2.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.15 Jf=2.0e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=5.6e-05, J_MSC=7.7e-05, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.9e-03 Coil lengths=sum([4.5, 4.4, 4.4])=13.3, curvature=[10.6, 7.9, 4.6], mean squared curvature=[6.1, 5.5, 4.6]
fun_coils#17 - J=4.5e-03, Jf=2.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.16 Jf=2.0e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=5.4e-06, J_MSC=4.2e-07, J_ALS=2.5e-07, J_LENGTH_PENALTY=2.5e-03 Coil lengths=sum([4.4, 4.4, 4.4])=13.2, curvature=[6.6, 6.7, 4.6], mean squared curvature=[4.8, 5.1, 4.6]
