
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.001018332930600819
fun_coils#8 - J=1.9e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=5.1e-07, J_MSC=8.9e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.0, 7.4, 8.2], mean squared curvature=[13.5, 7.8, 5.9, 5.8, 9.5, 9.7, 11.4, 11.9]
fun_coils#9 - J=1.9e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.9e-07, J_MSC=8.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 10.9, 7.1, 7.1], mean squared curvature=[13.5, 7.8, 5.9, 5.8, 9.5, 9.7, 11.3, 11.7]
fun_coils#10 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.5e-07, J_MSC=8.0e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 10.7, 6.6, 7.2], mean squared curvature=[13.4, 7.8, 5.9, 5.8, 9.5, 9.6, 11.2, 11.7]
fun_coils#11 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=8.0e-08, J_MSC=7.5e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 10.4, 6.1, 7.4], mean squared curvature=[13.3, 7.8, 5.9, 5.8, 9.5, 9.6, 11.1, 11.6]
fun_coils#12 - J=1.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.8e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 9.9, 5.8, 7.9], mean squared curvature=[13.2, 7.8, 5.9, 5.8, 9.5, 9.5, 11.0, 11.5]
fun_coils#13 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.1e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 9.3, 6.0, 6.3], mean squared curvature=[13.1, 7.8, 5.9, 5.8, 9.5, 9.5, 10.9, 11.3]
fun_coils#14 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 9.0, 5.9, 5.8], mean squared curvature=[13.1, 7.8, 5.9, 5.8, 9.5, 9.5, 10.8, 11.1]
fun_coils#15 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.2e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 8.7, 5.9, 5.8], mean squared curvature=[13.0, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 11.0]
fun_coils#16 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.9e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.7, 8.4, 6.3, 6.5], mean squared curvature=[12.9, 7.8, 5.9, 5.8, 9.5, 9.5, 10.5, 10.9]
fun_coils#17 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.6e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.7, 8.2, 6.5, 6.6], mean squared curvature=[12.9, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 10.9]
