
Aspect ratio at max_mode 3: 7.0005969980925915
Mean iota at 3: -0.46675452068156176
Squared flux at max_mode 3: 0.00776731652366406
fun_coils#12 - J=6.8e-03, Jf=6.8e-03, ⟨B·n⟩=6.1e-03, C-C-Sep=0.20 Jf=6.8e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.8e-07, J_MSC=9.5e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[11.1, 6.6, 7.9], mean squared curvature=[10.7, 11.2, 10.1]
fun_coils#13 - J=6.7e-03, Jf=6.6e-03, ⟨B·n⟩=6.1e-03, C-C-Sep=0.20 Jf=6.6e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=1.1e-08, J_MSC=1.1e-04, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[6.9, 10.2, 9.4], mean squared curvature=[9.6, 11.3, 10.7]
fun_coils#14 - J=6.6e-03, Jf=6.6e-03, ⟨B·n⟩=6.1e-03, C-C-Sep=0.20 Jf=6.6e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.6e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[6.4, 7.5, 8.1], mean squared curvature=[9.7, 10.9, 10.3]
fun_coils#15 - J=6.5e-03, Jf=6.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.20 Jf=6.5e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.4e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[6.5, 6.5, 7.7], mean squared curvature=[10.0, 10.8, 10.3]
fun_coils#16 - J=6.4e-03, Jf=6.4e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.20 Jf=6.4e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.8e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[8.1, 6.7, 6.9], mean squared curvature=[10.4, 10.8, 10.1]
fun_coils#17 - J=6.3e-03, Jf=6.2e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.20 Jf=6.2e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.9e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[8.3, 6.5, 7.6], mean squared curvature=[10.3, 11.1, 10.4]
fun_coils#18 - J=6.2e-03, Jf=6.1e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.20 Jf=6.1e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.5e-04, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.8, curvature=[6.9, 7.3, 8.3], mean squared curvature=[10.1, 11.3, 11.1]
fun_coils#19 - J=6.1e-03, Jf=6.0e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.19 Jf=6.0e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.3e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.8, curvature=[5.4, 6.5, 8.2], mean squared curvature=[9.9, 10.8, 10.7]
fun_coils#20 - J=5.9e-03, Jf=5.9e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.19 Jf=5.9e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.3e-05, J_ALS=4.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.3])=9.8, curvature=[5.5, 6.7, 8.3], mean squared curvature=[10.1, 10.8, 10.8]
fun_coils#21 - J=5.7e-03, Jf=5.5e-03, ⟨B·n⟩=5.5e-03, C-C-Sep=0.19 Jf=5.5e-03, J_length=9.9e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.4e-04, J_ALS=4.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.9, curvature=[9.5, 7.8, 8.3], mean squared curvature=[11.3, 11.6, 10.8]
