
fun_coils#32 - J=7.1e-04, Jf=6.6e-04, ⟨B·n⟩=7.9e-03, C-C-Sep=0.15 Jf=6.6e-04, J_length=1.1e-06, J_CC=3.0e-08, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.8e-08, J_LENGTH_PENALTY=4.6e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 8.2], mean squared curvature=[0.9, 5.6]
fun_coils#33 - J=6.8e-04, Jf=6.4e-04, ⟨B·n⟩=7.9e-03, C-C-Sep=0.14 Jf=6.4e-04, J_length=1.1e-06, J_CC=3.1e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.1e-08, J_LENGTH_PENALTY=3.7e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 9.4], mean squared curvature=[0.9, 5.8]
fun_coils#34 - J=6.5e-04, Jf=6.2e-04, ⟨B·n⟩=7.8e-03, C-C-Sep=0.14 Jf=6.2e-04, J_length=1.1e-06, J_CC=2.6e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.3e-08, J_LENGTH_PENALTY=2.4e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 10.8], mean squared curvature=[0.9, 6.1]
fun_coils#35 - J=6.4e-04, Jf=6.0e-04, ⟨B·n⟩=7.7e-03, C-C-Sep=0.14 Jf=6.0e-04, J_length=1.1e-06, J_CC=6.6e-07, J_CURVATURE=2.4e-06, J_MSC=0.0e+00, J_ALS=4.6e-08, J_LENGTH_PENALTY=3.0e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 12.3], mean squared curvature=[0.9, 6.5]
fun_coils#36 - J=6.3e-04, Jf=6.0e-04, ⟨B·n⟩=7.6e-03, C-C-Sep=0.14 Jf=6.0e-04, J_length=1.1e-06, J_CC=3.2e-07, J_CURVATURE=3.9e-07, J_MSC=0.0e+00, J_ALS=4.4e-08, J_LENGTH_PENALTY=2.6e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 11.7], mean squared curvature=[0.9, 6.1]
fun_coils#37 - J=6.1e-04, Jf=5.9e-04, ⟨B·n⟩=7.4e-03, C-C-Sep=0.14 Jf=5.9e-04, J_length=1.1e-06, J_CC=1.3e-07, J_CURVATURE=2.4e-06, J_MSC=0.0e+00, J_ALS=4.4e-08, J_LENGTH_PENALTY=2.0e-05 Coil lengths=sum([6.8, 4.1])=10.8, curvature=[0.9, 12.7], mean squared curvature=[0.9, 6.2]
fun_coils#38 - J=5.7e-04, Jf=5.4e-04, ⟨B·n⟩=6.9e-03, C-C-Sep=0.14 Jf=5.4e-04, J_length=1.1e-06, J_CC=4.3e-07, J_CURVATURE=7.9e-06, J_MSC=0.0e+00, J_ALS=4.7e-08, J_LENGTH_PENALTY=3.1e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 13.6], mean squared curvature=[0.9, 6.5]
fun_coils#39 - J=5.4e-04, Jf=5.0e-04, ⟨B·n⟩=6.6e-03, C-C-Sep=0.15 Jf=5.0e-04, J_length=1.1e-06, J_CC=5.5e-08, J_CURVATURE=2.6e-06, J_MSC=0.0e+00, J_ALS=4.9e-08, J_LENGTH_PENALTY=3.2e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 12.4], mean squared curvature=[0.9, 7.0]
fun_coils#40 - J=5.0e-04, Jf=4.6e-04, ⟨B·n⟩=6.4e-03, C-C-Sep=0.15 Jf=4.6e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-06, J_MSC=0.0e+00, J_ALS=6.0e-08, J_LENGTH_PENALTY=3.8e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 12.0], mean squared curvature=[0.9, 8.4]
fun_coils#41 - J=4.7e-04, Jf=4.4e-04, ⟨B·n⟩=6.4e-03, C-C-Sep=0.16 Jf=4.4e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=6.1e-08, J_LENGTH_PENALTY=2.7e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 10.7], mean squared curvature=[0.9, 8.4]
fun_coils#42 - J=4.5e-04, Jf=4.1e-04, ⟨B·n⟩=6.1e-03, C-C-Sep=0.16 Jf=4.1e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.0e-08, J_LENGTH_PENALTY=4.1e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 9.7], mean squared curvature=[0.9, 9.1]
fun_coils#43 - J=4.3e-04, Jf=3.9e-04, ⟨B·n⟩=5.8e-03, C-C-Sep=0.17 Jf=3.9e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.7e-08, J_LENGTH_PENALTY=4.7e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 8.6], mean squared curvature=[0.9, 10.1]
fun_coils#44 - J=4.2e-04, Jf=3.9e-04, ⟨B·n⟩=5.8e-03, C-C-Sep=0.17 Jf=3.9e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=8.0e-08, J_LENGTH_PENALTY=3.8e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 9.9], mean squared curvature=[0.9, 10.9]
fun_coils#45 - J=5.2e-04, Jf=3.8e-04, ⟨B·n⟩=5.8e-03, C-C-Sep=0.18 Jf=3.8e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=5.1e-07, J_MSC=1.0e-04, J_ALS=8.6e-08, J_LENGTH_PENALTY=3.5e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 11.9], mean squared curvature=[0.9, 12.4]
fun_coils#46 - J=4.2e-04, Jf=3.9e-04, ⟨B·n⟩=5.8e-03, C-C-Sep=0.17 Jf=3.9e-04, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=8.1e-08, J_LENGTH_PENALTY=3.8e-05 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 10.0], mean squared curvature=[0.9, 10.9]
