
fun_coils#8 - J=4.3e-04, Jf=3.0e-04, ⟨B·n⟩=3.8e-03, C-C-Sep=0.12 Jf=3.0e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[3.7, 4.2, 4.5, 4.5], mean squared curvature=[5.7, 5.7, 5.8, 5.9]
fun_coils#9 - J=4.2e-04, Jf=3.0e-04, ⟨B·n⟩=3.8e-03, C-C-Sep=0.12 Jf=3.0e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[3.7, 4.2, 4.6, 4.5], mean squared curvature=[5.7, 5.7, 5.8, 5.9]
fun_coils#10 - J=4.0e-04, Jf=2.8e-04, ⟨B·n⟩=3.6e-03, C-C-Sep=0.13 Jf=2.8e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[3.7, 4.2, 4.6, 4.4], mean squared curvature=[5.7, 5.7, 5.8, 5.9]
fun_coils#11 - J=3.8e-04, Jf=2.5e-04, ⟨B·n⟩=3.5e-03, C-C-Sep=0.13 Jf=2.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[3.7, 4.2, 4.5, 4.4], mean squared curvature=[5.7, 5.7, 5.8, 6.0]
fun_coils#12 - J=3.6e-04, Jf=2.2e-04, ⟨B·n⟩=3.2e-03, C-C-Sep=0.13 Jf=2.2e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[3.8, 4.1, 4.3, 4.4], mean squared curvature=[5.8, 5.8, 5.8, 5.9]
fun_coils#13 - J=3.4e-04, Jf=2.0e-04, ⟨B·n⟩=3.1e-03, C-C-Sep=0.13 Jf=2.0e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[3.8, 4.1, 4.2, 4.4], mean squared curvature=[5.8, 5.8, 5.9, 5.9]
fun_coils#14 - J=3.3e-04, Jf=2.0e-04, ⟨B·n⟩=3.0e-03, C-C-Sep=0.13 Jf=2.0e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=2.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[3.8, 4.1, 4.2, 4.3], mean squared curvature=[5.8, 5.8, 5.9, 5.8]
fun_coils#15 - J=3.2e-04, Jf=1.9e-04, ⟨B·n⟩=3.0e-03, C-C-Sep=0.13 Jf=1.9e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=2.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[3.8, 4.1, 4.2, 4.3], mean squared curvature=[5.8, 5.8, 5.9, 5.8]
fun_coils#16 - J=3.1e-04, Jf=1.7e-04, ⟨B·n⟩=2.8e-03, C-C-Sep=0.13 Jf=1.7e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.5, curvature=[3.8, 4.1, 4.2, 4.3], mean squared curvature=[5.8, 5.8, 5.9, 5.9]
fun_coils#17 - J=2.9e-04, Jf=1.5e-04, ⟨B·n⟩=2.6e-03, C-C-Sep=0.13 Jf=1.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=2.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.5, curvature=[3.8, 4.1, 4.3, 4.3], mean squared curvature=[5.8, 5.8, 5.9, 5.9]
