
Aspect ratio at max_mode 3: 3.4999672887756104
Mean iota at 3: -0.22999971505212466
Quasisymmetry objective at max_mode 3: 5.3236988549950675e-05
Squared flux at max_mode 3: 0.033433560268673085
fun_coils#10 - J=1.8e-03, Jf=1.8e-03, ⟨B·n⟩=1.0e-02, C-C-Sep=0.23 Jf=1.8e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.2e-08, J_LENGTH_PENALTY=2.4e-06 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[0.9, 11.7], mean squared curvature=[0.9, 10.6]
fun_coils#11 - J=1.6e-03, Jf=1.5e-03, ⟨B·n⟩=9.4e-03, C-C-Sep=0.24 Jf=1.5e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.6e-08, J_LENGTH_PENALTY=7.0e-05 Coil lengths=sum([6.8, 3.9])=10.7, curvature=[0.9, 11.7], mean squared curvature=[0.9, 10.4]
fun_coils#12 - J=1.5e-03, Jf=1.3e-03, ⟨B·n⟩=8.7e-03, C-C-Sep=0.22 Jf=1.3e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.4e-08, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 10.5], mean squared curvature=[0.9, 7.8]
fun_coils#13 - J=4.1e-03, Jf=3.8e-03, ⟨B·n⟩=1.7e-02, C-C-Sep=0.20 Jf=3.8e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.0e-08, J_LENGTH_PENALTY=3.1e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 8.6], mean squared curvature=[0.9, 5.9]
fun_coils#14 - J=1.5e-03, Jf=1.3e-03, ⟨B·n⟩=8.7e-03, C-C-Sep=0.22 Jf=1.3e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.4e-08, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 10.4], mean squared curvature=[0.9, 7.6]
fun_coils#15 - J=1.4e-03, Jf=1.2e-03, ⟨B·n⟩=8.8e-03, C-C-Sep=0.21 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.5e-08, J_LENGTH_PENALTY=2.1e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 9.6], mean squared curvature=[0.9, 6.7]
fun_coils#16 - J=1.4e-03, Jf=1.2e-03, ⟨B·n⟩=8.8e-03, C-C-Sep=0.21 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.4e-08, J_LENGTH_PENALTY=1.8e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 9.3], mean squared curvature=[0.9, 6.6]
fun_coils#17 - J=1.4e-03, Jf=1.2e-03, ⟨B·n⟩=8.7e-03, C-C-Sep=0.21 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.2e-08, J_LENGTH_PENALTY=1.3e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[0.9, 8.3], mean squared curvature=[0.9, 5.9]
fun_coils#18 - J=1.4e-03, Jf=1.2e-03, ⟨B·n⟩=8.6e-03, C-C-Sep=0.20 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.7e-08, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[0.9, 7.2], mean squared curvature=[0.9, 5.2]
fun_coils#19 - J=1.4e-03, Jf=1.2e-03, ⟨B·n⟩=8.8e-03, C-C-Sep=0.19 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=9.6e-09, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[0.9, 4.1], mean squared curvature=[0.9, 3.6]
fun_coils#20 - J=1.3e-03, Jf=1.2e-03, ⟨B·n⟩=8.5e-03, C-C-Sep=0.19 Jf=1.2e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.2e-08, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[0.9, 5.5], mean squared curvature=[0.9, 4.3]
