index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep
34,20,0.0013314735790129011,0.001216036919032205,1.0737777124762788e-06,0.0,0.0,0.00011542424922283222,0.0,1.2410757863797703e-08,10.73777712476279,6.399570668056363,5.133292363026174,0.008546941874906186,0.19472131898372008
35,21,0.0013201821491671312,0.0011808584262824175,1.0752761035083654e-06,0.0,0.0,0.00013931293984201397,0.0,1.0783042699612334e-08,10.752761035083655,5.535653134053066,4.757293008039853,0.008446754794546837,0.1853040711031421
36,22,0.0013110411611350794,0.001165131014277307,1.0756661530076975e-06,0.0,0.0,0.00014589975062516086,0.0,1.0396232611598687e-08,10.756661530076975,5.56170265754356,4.755659093672131,0.008260758681346896,0.1843060204848155
37,23,0.001298139570208201,0.0011400528740481745,1.0763648085459915e-06,0.0,0.0,0.00015807834200550413,0.0,8.354154522545394e-09,10.763648085459916,5.1019342203552105,4.529609141539119,0.008133863811522923,0.17907512598824024
38,24,0.0012870524071100437,0.0011282729489469473,1.0764037529879534e-06,0.0,0.0,0.00015877156349363073,0.0,7.894669465584558e-09,10.764037529879534,4.566322651871732,4.336852545692047,0.008055789384634816,0.17250831399375263
39,25,0.0012747997754409914,0.0011209868260029583,1.0761226340415846e-06,0.0,0.0,0.00015380161094396015,0.0,1.1338494072960878e-08,10.761226340415845,4.213130656351264,4.221803940294072,0.008093478704570046,0.1669236085829784
40,26,0.0012674492159685036,0.0011196584498167086,1.0757754002502415e-06,0.0,0.0,0.00014777189477859103,0.0,1.8871373204143014e-08,10.757754002502416,4.2001039073115045,4.237373761050953,0.00798466893424617,0.16258282541096308
41,27,0.0012616570783503132,0.0011295655090916906,1.0748363121484115e-06,0.0,0.0,0.00013206861095414575,0.0,2.2958304476958857e-08,10.748363121484115,4.49174745724553,4.343799427255787,0.008057656557934424,0.16643925365441925
42,28,0.001256254917770175,0.0011184174179172182,1.075185882274726e-06,0.0,0.0,0.00013781102879565396,0.0,2.6471057302637144e-08,10.751858822747261,4.902543338396943,4.429924180340616,0.007968271425353347,0.16699042697667021
43,29,0.0012535990136730462,0.0011076196226555062,1.0756692007032245e-06,0.0,0.0,0.00014595181643054436,0.0,2.7574586995655285e-08,10.756692007032246,5.249166446393484,4.534644803102562,0.007884249563957665,0.16884777035468435
44,30,0.001252904149578723,0.0011033776606760584,1.0758755511991566e-06,0.0,0.0,0.00014949864361358853,0.0,2.7845289076219934e-08,10.758755511991566,5.3058520947174275,4.55295997991494,0.007920482860481668,0.1697307629200101
45,31,0.0012516383348288125,0.0010995740414588128,1.0760218617315175e-06,0.0,0.0,0.00015203928113312158,0.0,2.5012236877968402e-08,10.760218617315175,5.1072535123866825,4.545080755271839,0.00788577769662853,0.1724114296661001
46,32,0.001249165142984703,0.0010956368553617587,1.0761056524314141e-06,0.0,0.0,0.00015350392110902595,0.0,2.436651391826714e-08,10.761056524314142,5.097594342721891,4.530520260095202,0.007897865822808181,0.17434919457689907
47,33,0.001243435687812182,0.0010888428292507718,1.0761662217569018e-06,0.0,0.0,0.00015456702930179803,0.0,2.5829259612221123e-08,10.761662217569018,5.3873912738803655,4.539150344567442,0.007924016350935703,0.1785786660900808
48,34,0.0012400769534360535,0.0010855007932184695,1.076165017423279e-06,0.0,0.0,0.00015454585518205025,0.0,3.0305035533772536e-08,10.761650174232791,6.042876233690075,4.629507438724457,0.007915133091441443,0.17960783611730288
49,35,0.0012347726162091055,0.001078755844602216,1.0762462234515472e-06,0.0,0.0,0.00015597683591950037,0.0,3.993568738920017e-08,10.762462234515473,7.951104747419971,4.978345707308579,0.00786473455565475,0.18135837352014614
50,36,0.0012302792208502946,0.0010765172694236558,1.0761175446223099e-06,0.0,0.0,0.000153712362499969,0.0,4.958892666978982e-08,10.761175446223099,11.782711257615375,5.7218883323322,0.0077988248131240666,0.18348066926673237
51,37,0.001227239651715056,0.001074508374579125,1.0759190712290855e-06,0.0,2.4249638637173102e-06,0.0001502521188624028,0.0,5.419440981082891e-08,10.759190712290856,14.637504985901847,6.387665474626873,0.0077017220051742805,0.18520850571386618
52,38,0.0012273988685967852,0.0010753176968915305,1.0760212465106045e-06,0.0,9.21921237628035e-10,0.00015202855319326183,0.0,5.169659075507089e-08,10.760212465106045,12.967957848951457,5.988689344551861,0.007750736398397923,0.18428205579038823
53,39,0.001231443623198089,0.001073081772272238,1.0755485389466872e-06,0.0,1.4407713557718693e-05,0.00014389756732240984,0.0,5.65700457227202e-08,10.755485389466873,16.872432822443777,6.817972958216338,0.007602224824924151,0.18738081559248873
54,40,0.0012231643391887091,0.00107328029054176,1.0758037465603159e-06,0.0,1.5706616003660894e-06,0.00014825960892387107,0.0,5.377812271195894e-08,10.75803746560316,14.449324767900267,6.282293779750754,0.007673728066499204,0.18563456277010998
55,41,0.0023956757800243198,0.0022939353980586928,1.0728466553523971e-06,0.0,0.0,0.00010171148093459334,0.0,2.8901031033590784e-08,10.728466553523972,6.04801420674305,5.82932087259195,0.012360171224828156,0.21935595122070978
56,42,0.0012174399182016513,0.0010805755734074928,1.0751257003025235e-06,0.0,0.0,0.00013681370650589245,0.0,5.063828826607067e-08,10.751257003025234,12.72577689826571,5.775672879165097,0.007519789497392323,0.1887824329483112
57,43,0.0012141496661621737,0.001075034881594872,1.0752608228834427e-06,0.0,5.645894090256846e-09,0.00013905799101920777,0.0,5.1147654003428086e-08,10.752608228834427,13.031755154329355,5.768969007870678,0.007568637592174054,0.18868088552022866
58,44,0.0012119280571180513,0.001071600808792952,1.0753229690439048e-06,0.0,1.7977823958128714e-07,0.00014009632178395225,0.0,5.1148301565837314e-08,10.75322969043905,13.527964011549239,5.811797782374381,0.007541638315740582,0.18964599997819462
59,45,0.0012086696025949853,0.0010694289718959213,1.0752470462818943e-06,0.0,3.6136528313849354e-07,0.00013882833615413962,0.0,5.092926178582346e-08,10.752470462818945,13.785162179441866,5.819209866146234,0.007557721582812245,0.19104034452708368
60,46,0.0011943294356943697,0.0010514856241439464,1.075432161414959e-06,0.0,8.646518595475891e-07,0.00014193004955115462,0.0,4.911013972106829e-08,10.75432161414959,14.278467823306086,5.846435637567224,0.007502912274167807,0.19702303090239964
